2018 Jan 27 22:13:19  更新测试!
2018 Jan 21 15:05:59  重新排版比较麻烦，不过已经做好一半（前4章）。用markdown格式做C语言的书有些陷阱，比如表格当中显示“ | ”符号，正文当中不时出现的指针标志“ * ”。
2018 Jan 21 14:53:34  K&amp;R C程序设计语言（第二版）电子版计划（https://t.co/Vy1bXVgAcH）。实际上这本书已经有电子版，但它是文本PDF，格式所限，复制出来的代码混乱不堪，难以使用，于是我想把它做成MD格式的电子文本，效果似乎不错。
2018 Jan 21 13:56:28  就我的牙齿状况可以总结的教训是：1，从小就要去看牙医，即使自认为健康；2，及早使用电动牙刷，普通牙刷一般人很难真的刷干净；3，成年起就开始定期洗牙（也许可以更早？）；4，如果不是天禀异赋，拔掉你的智齿。5，如果牙齿有问题，第一时间看医生，越拖毛病越严重，不可逆转。
2018 Jan 21 13:42:17  @wenyunchao 我有一个同事，他真的是满口烂牙，现在两颗门牙都掉了，他说他的牙全部治好要花十几万，好多牙都要种植。
2018 Jan 21 13:38:21  @wenyunchao 咨询一下懂的朋友，看看不补会不会导致更严重的问题，如果有后遗症的话，就是花钱也是早治疗为好。我这两颗牙处理好在上海估计花费在5000-10000之间，暂时也是拖着，但早晚要弄，害得我痛苦了大半年。
2018 Jan 21 13:27:19  @wenyunchao 这种异物感很难受，最好及时去看牙医补上，现在技术相当先进了，你这种状况就是用树脂补，花费应该也不高。
2018 Jan 21 13:23:30  我分析了一下出现这种状况的原因，除了个人口腔卫生关注不足，可能一部分还要怪智齿。智齿萌出之后生长空间狭窄，于是使劲挤压第一第二磨牙，使原本狭小的空间更加拥挤，留下了刷牙难以清理的卫生死角，日积月累，牙齿就蛀坏了。
2018 Jan 21 13:23:30  牙齿之所以会咬碎，实际上是因为龋齿。我这两颗牙的龋坏还是那种比较阴险的邻面龋，也就是说，它是从两颗磨牙紧紧挨挤在一起的侧面根部蛀坏的，平时刷牙根本看不出来，直到一天从顶部咬崩。
2018 Jan 21 13:00:17  牙齿接连出问题，对我精神打击较大，这是逐渐步入衰老的明证，而日常的塞牙、疼痛，刮割舌头的异物感，时时刻刻提醒此一证明的坚实存在。
2018 Jan 21 12:40:57  并没有按照医嘱吃完，不了了之。
2018 Jan 21 12:40:57  我记得我上高中时牙齿就不怎么好，刷牙牙龈会出血（应该是牙龈炎），当时自己不懂，家人也不关心这些问题，慢慢就混过去了，没出现其他症状。再之后可能长智齿时痛过一段时间，并不严重。我第一次洗牙是研究生毕业两年左右，已经快30岁了，医生说我牙结石很多，属于中度牙周炎，开了一些药，但我
2018 Jan 21 12:26:51  除了右下的这颗牙，我左下的第七颗牙在2017年9月份也崩了一角，比较浅，好像并没有露髓，但已经损伤牙体，冷敏感，用力刺激损伤面会痛，不时轻微发炎，也去了牙诊所，给出的治疗方案是戴牙套。
